run_id,source,commit,drive_reference,seed,train_samples,batch_size,epochs,approx_updates,validation_mode,train_accuracy,val_accuracy,val_loss,penultimate_cka_to_init,penultimate_linear_probe,nc1,knn_purity,margin_mean,hessian_min_ritz,hessian_max_ritz,jacobian_spectral_norm,jacobian_participation_rank,tangent_target_alignment,relative_sharpness
old_success_muon,prior completed run,c779521402c2395d8196299f466c7bde75e7064c,https://drive.google.com/drive/folders/14k-Psa4vaXeAUdyxqpL-KKcsU4frTsLT?usp=sharing,7,40000,512,50,3900,old_train_holdout_5k,0.9234,0.7686,0.800,0.130,0.758,1.319,0.707,2.894,-311,304,,,,
current_failed_muon,current executed notebook,main current notebook,,42,10000,256,50,1950,current_test_2k,0.4431,0.4665,1.490599,0.312605,0.4565,4.012914,0.2945,-0.179084,-10353.101294,16827.431911,59.892714,1.824303,0.861102,263.673537
